iter	RMSE
300	16013245.34
301	15971749.88
302	15902875.73
303	15859804.19
304	15827441.89
305	15749320.41
306	15708411.54
307	15679581.81
308	15640672.18
309	15611221.12
310	15573495.43
311	15568185.43
312	15550519.49
313	15523269.76
314	15508426.98
315	15467740.86
316	15435139.64
317	15397586.13
318	15360668.26
319	15340350.91
320	15309413.1
321	15275586.24
322	15194048.53
323	15178637.23
324	15147897.43
325	15143061.9
326	15113087.69
327	15060574.57
328	15036234.5
329	15032495.7
330	15004927.39
331	14997681.48
332	14961876.48
333	14930327.12
334	14901994.28
335	14871951.53
336	14839640.51
337	14808512.23
338	14757690.95
339	14723325.35
340	14694883.9
341	14680544.8
342	14675830.84
343	14665426.11
344	14648650.24
345	14619415.26
346	14595021.36
347	14584722.39
348	14550191
349	14523845.84
350	14495190.91
351	14485732.62
352	14481480.01
353	14440180.8
354	14385740.95
355	14359605.52
356	14332521.82
357	14305080.14
358	14224278.78
359	14153060.59
360	14121337.8
361	14097911.4
362	14078282.32
363	14051458.32
364	14040959.15
365	14013729.41
366	14008735.81
367	13983604.01
368	13964647.06
369	13934517.09
370	13923295.57
371	13898589.24
372	13850457.32
373	13835155.45
374	13788558.94
375	13777364.65
376	13735077.69
377	13717323.52
378	13694687.26
379	13653242.25
380	13618616.98
381	13569885.55
382	13564229.59
383	13515173.65
384	13494218.58
385	13477402.41
386	13452737.79
387	13429344.84
388	13408818.06
389	13361078.95
390	13339009.77
391	13305168.93
392	13245091.76
393	13239212.07
394	13235008.25
395	13218779.55
396	13194176.77
397	13186958.56
398	13151526.98
399	13130517.2
400	13084352.13
401	13047253.91
402	13026437.58
403	12965391.51
404	12945262.43
405	12905161.88
406	12867719.02
407	12840915.33
408	12797172.25
409	12774155.47
410	12704007.72
411	12666211.79
412	12644357.32
413	12611563.25
414	12547716.38
415	12528574.67
416	12484665.9
417	12437110.14
418	12362433.26
419	12354314.49
420	12341337.72
421	12323538.66
422	12310486.81
423	12294202.07
424	12265660.54
425	12247521.01
426	12209253.48
427	12170300.66
428	12123349.09
429	12109025.67
430	12107404.5
431	12051201.3
432	12021067.26
433	11999605.75
434	11963013.55
435	11946679.66
436	11926278.23
437	11888270.46
438	11837134.32
439	11801725.89
440	11747306.94
441	11709148.71
442	11684835.15
443	11657373.58
444	11641242.57
445	11576388.53
446	11514230.77
447	11500231.75
448	11491517.6
449	11460957.31
450	11432710.57
451	11400913.09
452	11342299.37
453	11307437.69
454	11290448.94
455	11259760.88
456	11245761.88
457	11213092.88
458	11191960.15
459	11184423.45
460	11151683.13
461	11146593.19
462	11083172.09
463	11063659.82
464	11030747.74
465	10997954.46
466	10984265.9
467	10916138.56
468	10872575.14
469	10841472.86
470	10827383.7
471	10820900.64
472	10806175.64
473	10771803.29
474	10725727.65
475	10717308.72
476	10693620.31
477	10632973.86
478	10620715.47
479	10555225.95
480	10535605.56
481	10529906.7
482	10516306.45
483	10486176.85
484	10442111.78
485	10410179.22
486	10368375.06
487	10306720.06
488	10278249.07
489	10255143.27
490	10242203.94
491	10236376.72
492	10212743.63
493	10208574.43
494	10141240.05
495	10119312.9
496	10075409.54
497	10065047.14
498	10059354.05
499	10032857.29
500	10020568.83
501	9977812.102
502	9940658.899
503	9890218.025
504	9882708.426
505	9857331.758
506	9794808.431
507	9752416.001
508	9711518.195
509	9678189.468
510	9667253.804
511	9646731.254
512	9633567.222
513	9620929.505
514	9585823.748
515	9570912.51
516	9536791.878
517	9503396.461
518	9492361.072
519	9487781.044
520	9452194.615
521	9413903.862
522	9407390.638
523	9397115.634
524	9376946.292
525	9354797.972
526	9328749.327
527	9297981.593
528	9287664.051
529	9281567.026
530	9280446.357
531	9275547.481
532	9270979.439
533	9262019.832
534	9223340.035
535	9222249.136
536	9207849.294
537	9183011.747
538	9136381.142
539	9098650.648
540	9074736.818
541	9050935.309
542	9032883.554
543	9021123.534
544	8990597.263
545	8967211.359
546	8953496.93
547	8944201.333
548	8921933.844
549	8916426.037
550	8900027.61
551	8885879.017
552	8868380.652
553	8846837.127
554	8836333.615
555	8832909.624
556	8824474.181
557	8812602.828
558	8780480.855
559	8776887.141
560	8763371.199
561	8759853.345
562	8717352.643
563	8696938.992
564	8678012.436
565	8620194.467
566	8581837.776
567	8548928.044
568	8511095.806
569	8475355.187
570	8469649.762
571	8445276.969
572	8428206.586
573	8418179.136
574	8399270.947
575	8378896.473
576	8371002.744
577	8361676.971
578	8349571.091
579	8346319.156
580	8336951.331
581	8318093.922
582	8279448.33
583	8254794.623
584	8224671.631
585	8209784.348
586	8198045.969
587	8164793.954
588	8154916.797
589	8151551.46
590	8132372.326
591	8096471.325
592	8088700.113
593	8080756.876
594	8069513.109
595	8048556.757
596	8040889.197
597	8014139.039
598	8006708.294
599	8003758.551
600	7982856.14
601	7974112.618
602	7960353.865
603	7943743.986
604	7920930.08
605	7906032.894
606	7872846.416
607	7855322.602
608	7842711.301
609	7838524.934
610	7822589.048
611	7808065.393
612	7805297.867
613	7790047.005
614	7764599.652
615	7743054.984
616	7739683.228
617	7720773.816
618	7690576.835
619	7689717.451
620	7679070.64
621	7666478.729
622	7658616.595
623	7643832.722
624	7625691.004
625	7619839.523
626	7591345.634
627	7586888.667
628	7572268.957
629	7565246.143
630	7560460.235
631	7536554.019
632	7509397.723
633	7503180.053
634	7497857.93
635	7488705.874
636	7482152.456
637	7465706.643
638	7442490.853
639	7426663.84
640	7407953.609
641	7397147.331
642	7378682.567
643	7374459.938
644	7358414.507
645	7337453.804
646	7332801.13
647	7325097.589
648	7322284.46
649	7313807.072
650	7284486.415
651	7277898.238
652	7265927.689
653	7243769.535
654	7225709.335
655	7214572.142
656	7202582.807
657	7200244.518
658	7194480.458
659	7181015.177
660	7178459.022
661	7176831.016
662	7172714.58
663	7164757.18
664	7141262.771
665	7130682.128
666	7103034.321
667	7081442.397
668	7071167.482
669	7054410.098
670	7038069.151
671	7035379.962
672	7028431.41
673	7014536.007
674	7012826.982
675	7007308.867
676	6985691.833
677	6967480.7
678	6965219.636
679	6944210.483
680	6931372.124
681	6924960.287
682	6915805.522
683	6898814.143
684	6875762.957
685	6850085.063
686	6848144.721
687	6829271.857
688	6803636.892
689	6790942.842
690	6788889.023
691	6771910.222
692	6748216.701
693	6741180.8
694	6728642.559
695	6709812.079
696	6697259.642
697	6692648.97
698	6661609.807
699	6631503.593
700	6619414.508
701	6592478.592
702	6574973.077
703	6558162.297
704	6555060.131
705	6535182.19
706	6532289.333
707	6518754.946
708	6513901.473
709	6506695.264
710	6494574.951
711	6470932.317
712	6468912.787
713	6450142.352
714	6425548.447
715	6408660.051
716	6383993.421
717	6365555.345
718	6351113.316
719	6337680.116
720	6320128.218
721	6314149.272
722	6312056.798
723	6292565.478
724	6280129.273
725	6256964.708
726	6248802.201
727	6230977.468
728	6225009.596
729	6209578.696
730	6190352.731
731	6176096.828
732	6174378.338
733	6163437.461
734	6158160.639
735	6141977.464
736	6125921.571
737	6123773.758
738	6103680.841
739	6087706.48
740	6066748.6
741	6065042.952
742	6063097.677
743	6047717.633
744	6032954.893
745	6020230.764
746	6007823.157
747	5994911.896
748	5979698.07
749	5968337.681
750	5955916.667
751	5944127.104
752	5942065.307
753	5929655.375
754	5927915.343
755	5921972.076
756	5914326.839
757	5911601.674
758	5910705.5
759	5899638.886
760	5897986.353
761	5888207.244
762	5880965.057
763	5870365.822
764	5856237.582
765	5849723.844
766	5839087.503
767	5824941.905
768	5810696.247
769	5796764.968
770	5791331.042
771	5786378.96
772	5779191.228
773	5765582.718
774	5759940.027
775	5758094.683
776	5752938.491
777	5740443.267
778	5723600.827
779	5718056.516
780	5711913.515
781	5708633.324
782	5707242.102
783	5702053.001
784	5700330.171
785	5691008.335
786	5682418.769
787	5677598.829
788	5672996.279
789	5659225.248
790	5658109.276
791	5641064.466
792	5634768.025
793	5629172.906
794	5626821.328
795	5622210.596
796	5618551.354
797	5614464.983
798	5610975.496
799	5607942.541
800	5603231.221
801	5591935.345
802	5577951.144
803	5562720.724
804	5539269.773
805	5537196.848
806	5532462.776
807	5531211.449
808	5525165.812
809	5520310.694
810	5511415.91
811	5502457.822
812	5502008.626
813	5485781.46
814	5471269.604
815	5469972.113
816	5454624.852
817	5444980.939
818	5444073.81
819	5442125.321
820	5437872.605
821	5435176.785
822	5433441.569
823	5421919.382
824	5416951.463
825	5414141.08
826	5403209.716
827	5396681.873
828	5387273.796
829	5386215.526
830	5385440.866
831	5384226.627
832	5369970.372
833	5353227.795
834	5346356.717
835	5334754.856
836	5333914.879
837	5332750.856
838	5314111.24
839	5301560.433
840	5293781.301
841	5284192.135
842	5272114.599
843	5270448.329
844	5269330.547
845	5250670.004
846	5249079.774
847	5234898.481
848	5231514.345
849	5226743.627
850	5222181.271
851	5218850.788
852	5212070.576
853	5200201.787
854	5199184.271
855	5188616.367
856	5187219.584
857	5183616.827
858	5178989.335
859	5170712.734
860	5166713.4
861	5161688.703
862	5154071.983
863	5151433.154
864	5148193.46
865	5139045.263
866	5132551.99
867	5128250.58
868	5120435.403
869	5114403.425
870	5097131.909
871	5084121.013
872	5083170.514
873	5081215.957
874	5069901.226
875	5068505.846
876	5057314.268
877	5055648.142
878	5045997.111
879	5036426.447
880	5026083.678
881	5023875.068
882	5020386.095
883	5015822.35
884	5005165.097
885	4995247.334
886	4991227.816
887	4985077.061
888	4984038.361
889	4972463.428
890	4969551.283
891	4965609.847
892	4960957.032
893	4953466.65
894	4952211.766
895	4944355.458
896	4926575.237
897	4916897.894
898	4916049.883
899	4897218.709
900	4887595.116
901	4886399.471
902	4885635.604
903	4872458.75
904	4865269.032
905	4854052.912
906	4851971.47
907	4839344.996
908	4822324.709
909	4818824.597
910	4807183.484
911	4800099.774
912	4799430.702
913	4792115.118
914	4789532.222
915	4781763.92
916	4773252.976
917	4759470.708
918	4751906.583
919	4750526.146
920	4737121.793
921	4736486.61
922	4735465.448
923	4724502.618
924	4721795.25
925	4721068.397
926	4710708.888
927	4700901.207
928	4686738.679
929	4676330.79
930	4675400.822
931	4673585.914
932	4664314.427
933	4651938.978
934	4644301.825
935	4640216.657
936	4637406.276
937	4636732.8
938	4631603.012
939	4631225.863
940	4628621.521
941	4618363.12
942	4603439.634
943	4593386.153
944	4589202.67
945	4588554.498
946	4576437.089
947	4573360.76
948	4564681.356
949	4553744.89
950	4550487.123
951	4548628.323
952	4545899.831
953	4545275.512
954	4544518.75
955	4534359.873
956	4524709.324
957	4523772.422
958	4516999.294
959	4504765.323
960	4502690.258
961	4495871.485
962	4491168.993
963	4489331.5
964	4477834.651
965	4477526.45
966	4472800.929
967	4462803.347
968	4460992.838
969	4460893.509
970	4460316.852
971	4448546.022
972	4441830.003
973	4432013.986
974	4420917.088
975	4418381.373
976	4416168.753
977	4402113.549
978	4400538.966
979	4398655.645
980	4397753.9
981	4388407.199
982	4387903.182
983	4381974.617
984	4376692.222
985	4373184.514
986	4367669.603
987	4366721.353
988	4360779.641
989	4357884.791
990	4357222.01
991	4345325.139
992	4336492.637
993	4323255.101
994	4315567.089
995	4315199.214
996	4306507.465
997	4295673.283
998	4293251.217
999	4288845.353
